division	group	group_size	tf	category	jsd_rank	cacts_score	group_expr_log2tpm	fdr_log10
OncotreeSubtype	AML with inv(3)(q21.3q26.2) or t(3;3)(q21.3;q26.2); GATA2, MECOM	1	NFE2L1	non_specific	1017	0.677538	6.27	-0.104
OncotreeSubtype	AML with inv(3)(q21.3q26.2) or t(3;3)(q21.3;q26.2); GATA2, MECOM	1	RBCK1	non_specific	947	0.676267	6.26	-0.104
OncotreeSubtype	AML with inv(3)(q21.3q26.2) or t(3;3)(q21.3;q26.2); GATA2, MECOM	1	JUNB	non_specific	702	0.673799	6.26	-0.104
OncotreeSubtype	AML with inv(3)(q21.3q26.2) or t(3;3)(q21.3;q26.2); GATA2, MECOM	1	ZEB2	non_specific	109	0.658742	6.24	-0.104
OncotreeSubtype	AML with inv(3)(q21.3q26.2) or t(3;3)(q21.3;q26.2); GATA2, MECOM	1	BAZ2A	non_specific	585	0.672872	6.23	-0.104
OncotreeSubtype	AML with inv(3)(q21.3q26.2) or t(3;3)(q21.3;q26.2); GATA2, MECOM	1	GPBP1	non_specific	789	0.674509	6.21	-0.104
OncotreeSubtype	AML with inv(3)(q21.3q26.2) or t(3;3)(q21.3;q26.2); GATA2, MECOM	1	RERE	non_specific	461	0.671621	6.2	-0.104
OncotreeSubtype	AML with inv(3)(q21.3q26.2) or t(3;3)(q21.3;q26.2); GATA2, MECOM	1	ZNF384	non_specific	803	0.674658	6.2	-0.104
OncotreeSubtype	AML with inv(3)(q21.3q26.2) or t(3;3)(q21.3;q26.2); GATA2, MECOM	1	HMG20A	non_specific	408	0.670996	6.18	-0.104
OncotreeSubtype	AML with inv(3)(q21.3q26.2) or t(3;3)(q21.3;q26.2); GATA2, MECOM	1	STAT3	non_specific	729	0.673993	6.17	-0.104
OncotreeSubtype	AML with inv(3)(q21.3q26.2) or t(3;3)(q21.3;q26.2); GATA2, MECOM	1	SETDB1	non_specific	615	0.673084	6.16	-0.104
OncotreeSubtype	AML with inv(3)(q21.3q26.2) or t(3;3)(q21.3;q26.2); GATA2, MECOM	1	IRF3	non_specific	943	0.67622	6.16	-0.104
OncotreeSubtype	Acral Melanoma	4	SOX10	specific	1	0.541844	5.62	-101.996
OncotreeSubtype	Acral Melanoma	4	PAX3	specific	2	0.598774	3.75	-33.785
OncotreeSubtype	Acral Melanoma	4	SCML4	specific	4	0.608	1.67	-26.352
OncotreeSubtype	Acral Melanoma	4	PKNOX2	specific	5	0.612272	3.35	-23.186
OncotreeSubtype	Acral Melanoma	4	RXRG	specific	6	0.615573	1.58	-20.88
OncotreeSubtype	Acral Melanoma	4	FOXD3	specific	8	0.622407	1.89	-16.449
OncotreeSubtype	Acral Melanoma	4	ALX1	specific	9	0.6243	4.23	-15.329
OncotreeSubtype	Acral Melanoma	4	ZNF280A	specific	10	0.631594	1.77	-11.226
OncotreeSubtype	Acral Melanoma	4	POU3F2	specific	11	0.6337	2.34	-10.178
OncotreeSubtype	Acral Melanoma	4	HOXD13	specific	14	0.644534	2.4	-5.451
OncotreeSubtype	Acral Melanoma	4	SOX5	specific	15	0.646019	2.84	-4.916
OncotreeSubtype	Acral Melanoma	4	EN2	specific	17	0.647911	1.42	-4.286
OncotreeSubtype	Acral Melanoma	4	HOXB13	specific	18	0.649465	3.01	-3.777
OncotreeSubtype	Acral Melanoma	4	HEY1	specific	19	0.650443	4.76	-3.477
OncotreeSubtype	Acral Melanoma	4	AEBP1	specific	23	0.652401	6.6	-2.945
OncotreeSubtype	Acral Melanoma	4	PRRX1	specific	26	0.655142	3.58	-2.205
OncotreeSubtype	Acral Melanoma	4	SOX8	specific	27	0.655635	1.51	-2.087
OncotreeSubtype	Acral Melanoma	4	SOX6	specific	29	0.656083	1.56	-2.011
OncotreeSubtype	Acral Melanoma	4	ZIC1	specific	30	0.656088	2.89	-2.011
OncotreeSubtype	Acral Melanoma	4	BATF2	specific	31	0.656315	2.52	-1.966
OncotreeSubtype	Acral Melanoma	4	SNAI2	specific	32	0.657821	5.97	-1.608
OncotreeSubtype	Acral Melanoma	4	ZNF697	specific	35	0.658914	4.15	-1.376
OncotreeSubtype	Acral Melanoma	4	MITF	specific	36	0.658967	4.47	-1.376
OncotreeSubtype	Acral Melanoma	4	DLX1	specific	37	0.658996	4.7	-1.376
OncotreeSubtype	Acral Melanoma	4	TBX15	specific	38	0.65978	1.8	-1.209
OncotreeSubtype	Acral Melanoma	4	TBX18	specific	40	0.659899	2.88	-1.203
OncotreeSubtype	Acral Melanoma	4	SOX11	specific	43	0.660633	1.16	-1.071
OncotreeSubtype	Acral Melanoma	4	ARNT2	specific	44	0.660678	3.82	-1.071
OncotreeSubtype	Acral Melanoma	4	HEY2	specific	45	0.660908	1.27	-1.03
OncotreeSubtype	Acral Melanoma	4	DLX5	specific	46	0.66102	2.02	-1.016
OncotreeSubtype	Acral Melanoma	4	NFATC2	specific	47	0.661107	3.04	-1.016
OncotreeSubtype	Acral Melanoma	4	CPEB1	specific	48	0.661109	2.73	-1.016
OncotreeSubtype	Acral Melanoma	4	HOXD8	specific	49	0.661154	3.11	-1.015
OncotreeSubtype	Acral Melanoma	4	NME2	non_specific	539	0.676869	9.83	-0.034
OncotreeSubtype	Acral Melanoma	4	ATF4	non_specific	392	0.676098	9.15	-0.034
OncotreeSubtype	Acral Melanoma	4	YBX1	non_specific	624	0.67741	9.06	-0.034
OncotreeSubtype	Acral Melanoma	4	PA2G4	non_specific	469	0.676531	7.86	-0.034
