	Adrenal Gland	Ampulla of Vater	Biliary Tract	Bladder/Urinary Tract	Bone	Bowel	Breast	CNS/Brain	Cervix	Esophagus/Stomach	Eye	Fibroblast	Head and Neck	Kidney	Liver	Lung	Lymphoid	Myeloid	Ovary/Fallopian Tube	Pancreas	Peripheral Nervous System	Pleura	Prostate	Skin	Soft Tissue	Testis	Thyroid	Uterus	Vulva/Vagina
ZNF600	0.599937	0.637895	0.613662	0.603942	0.637709	0.603272	0.61326	0.622178	0.610017	0.60732	0.634557	0.623772	0.621312	0.611604	0.618993	0.612417	0.621608	0.623173	0.614589	0.614297	0.64032	0.618425	0.604555	0.622115	0.627141	0.609276	0.624807	0.605394	0.619572
ZKSCAN3	0.618146	0.634009	0.624097	0.620745	0.608995	0.624702	0.62475	0.608992	0.625995	0.624076	0.605512	0.624076	0.629951	0.617587	0.614195	0.611439	0.610319	0.599943	0.620441	0.624888	0.602811	0.616732	0.610905	0.615334	0.609385	0.612567	0.615177	0.616837	0.642576
FOXR2	0.693147	0.693147	0.629655	0.680218	0.64288	0.680059	0.652797	0.580563	0.693147	0.629335	0.632506	0.68433	0.637305	0.691376	0.588589	0.614942	0.628272	0.688481	0.634628	0.692182	0.42636	0.690256	0.693147	0.485239	0.609346	0.575633	0.533416	0.649869	0.522552
LIN54	0.619724	0.61246	0.622666	0.617983	0.611304	0.616059	0.617049	0.612769	0.612215	0.617365	0.617323	0.615847	0.630527	0.62241	0.616935	0.610265	0.608266	0.614233	0.620858	0.618465	0.611041	0.61827	0.619029	0.616018	0.61323	0.624951	0.622588	0.614683	0.63712
ZFP92	0.686906	0.649862	0.658713	0.663374	0.552134	0.671713	0.632839	0.634695	0.610677	0.627305	0.655556	0.654617	0.631145	0.592028	0.623671	0.60865	0.589546	0.555092	0.572539	0.632082	0.633589	0.531279	0.604361	0.603316	0.651372	0.664346	0.672563	0.597919	0.561844
ZNF724	0.581495	0.633599	0.644867	0.615558	0.609261	0.616007	0.613029	0.608557	0.648073	0.639603	0.61906	0.642599	0.65809	0.624433	0.618455	0.599144	0.606003	0.609268	0.612367	0.634813	0.593766	0.601868	0.608698	0.635727	0.603184	0.580241	0.622769	0.59827	0.660224
PAX5	0.670599	0.630646	0.682838	0.658772	0.653127	0.637196	0.665914	0.662502	0.642414	0.647882	0.616817	0.673199	0.664818	0.671337	0.678506	0.527765	0.337187	0.5888	0.674188	0.650426	0.475738	0.680668	0.557258	0.677641	0.626686	0.66412	0.635044	0.657395	0.690417
ZNF676	0.693147	0.693147	0.654728	0.6593	0.622613	0.676295	0.645837	0.622016	0.690591	0.652104	0.595292	0.682558	0.668806	0.68516	0.564798	0.603548	0.64687	0.652276	0.637226	0.675059	0.588289	0.546734	0.609073	0.60753	0.655687	0.353156	0.60402	0.638414	0.593568
ZNF699	0.578108	0.63986	0.619178	0.617723	0.601841	0.629673	0.632671	0.598553	0.622565	0.628045	0.626579	0.60484	0.631988	0.611761	0.631475	0.610456	0.626844	0.632382	0.622073	0.633267	0.610721	0.593788	0.617221	0.621797	0.594999	0.61122	0.61299	0.614932	0.647472
MYT1	0.541338	0.647586	0.664946	0.655008	0.615246	0.603841	0.620159	0.661598	0.632865	0.636341	0.620172	0.688846	0.680461	0.667222	0.650687	0.542497	0.610902	0.613818	0.610038	0.658045	0.448786	0.672329	0.560488	0.641468	0.639599	0.604333	0.628414	0.629007	0.632158
